text_id,character_length,word_count,mean_word_length,median_word_length,freq_coverage_ratio,freq_mean,freq_median,surprisal_mean_nats,surprisal_mean_bits,m,f,e
3,-1.7829813635774885,-1.6644877367784365,0.0970967609273246,0.7934247353702998,1.1018482877903577,-0.7384753368722368,-0.4915044377919139,1.1969717281681505,1.1969717281681493,M,D,S
5,0.8528105947817989,0.8665408248851743,-0.46278535135871607,0.7934247353702998,0.08438550565060601,-0.5015349830245097,-0.4646999408822585,-0.0832124479756111,-0.08321244797561322,M,D,P
6,-2.400867312272989,-2.237550807343782,0.355969466777506,-0.9877328338283329,1.1018482877903577,0.7334489918527765,0.28801940576100343,1.0632135632857591,1.0632135632857573,M,D,Z
8,-1.540519788772925,-1.3779562014957636,-0.3492322373879848,-0.9877328338283329,0.16614590778683364,0.8221816518052074,0.3689905489915576,0.14811633230292157,0.1481163323029197,M,D,D
10,1.8382995762455088,2.2991985012985388,-1.7855795211230427,-0.9877328338283329,-0.08009156063514764,1.55488805386851,3.0858549483107782,1.3171956266723228,1.3171956266723206,M,D,S
15,-1.2433088261092664,-1.2346904338544271,0.5675179854807411,-0.9877328338283329,-0.6744002979790514,-0.7381146708676937,-0.5323617777415828,-1.0630231260991292,-1.063023126099132,M,D,Z
18,0.9779520527454446,0.9142960807656197,-0.08725352351739797,-0.9877328338283329,-0.9135106845249308,0.45684965834858315,-0.14308315479983333,0.994212715233468,0.9942127152334657,M,D,Z
21,0.25056732833175394,-0.08856429272373548,1.0107894720476645,0.7934247353702998,-2.6860553228263324,-1.4052188728842345,-0.930860255376251,-0.3499064499202617,-0.3499064499202639,M,D,P
28,1.1500215574454573,1.3440933836896292,-0.959549904878529,-0.9877328338283329,0.1744264598222583,0.21601898736958933,0.5442793186573343,0.23716338259445033,0.2371633825944478,M,F,D
31,0.8058825480454317,1.3440933836896292,-1.8478615196795842,-0.9877328338283329,0.6381373738063022,0.8596689788485193,-0.6150244668936198,2.2206243350140213,2.2206243350140187,M,F,Z
34,0.4226368330317668,-0.08856429272373548,1.6759529281908625,0.7934247353702998,1.1018482877903577,-1.2033550123482444,-0.5273429052272922,1.3079848226041413,1.307984822604139,M,F,P
37,-0.6567082419046774,-0.7571378750499723,0.5866272681302622,0.7934247353702998,-1.1763835939573597,2.09141330123266,-0.5090890800086504,-0.18438619739960666,-0.18438619739960896,M,F,D
38,0.055033800263557565,0.2934777543198284,-0.8973192835119722,-0.9877328338283329,-2.353052807607287,-0.013003090240332065,-0.4090462212237924,1.2205722225829574,1.2205722225829552,M,F,S
39,1.1656642396909132,0.7710303131242833,0.8757810477809748,0.7934247353702998,-2.5297886722233245,-1.657496423390921,-0.8301668020062071,-0.50960674799947,-0.5096067479994717,M,F,S
41,0.7120264545726974,0.3889882660807194,0.8154017706097056,-0.9877328338283329,-0.5884527857644001,1.1687600271978573,1.0643274532214313,-0.09223980278743063,-0.09223980278743266,O,D,P
54,0.38353012741812753,0.6755198013633923,-1.128239383244789,-0.9877328338283329,-1.0152964912075246,0.9014951717242893,3.19309152436612,2.7542208251291314,2.754220825129129,O,F,D
1,-1.6578399056138429,-1.3779562014957636,-0.8869780184907637,-0.9877328338283329,1.1018482877903577,-0.7615915061289763,-0.25375858794829936,-0.5712983980214171,-0.5712983980214192,M,D,S
9,2.690825758622845,3.1587931071465576,-1.7752082187339346,-0.9877328338283329,-1.674275329703554,1.8376066368264818,1.4971215597037515,0.4636321556675867,0.46363215566758487,M,D,D
12,0.1567112348590197,-0.18407480448462646,1.2911136895356217,0.7934247353702998,0.4549429386521195,0.027972929976687426,-0.876712197472072,-2.2913554795086926,-2.291355479508694,M,D,Z
14,-1.4701277186683743,-1.330200945615318,-0.10630322224067602,-0.9877328338283329,-0.736724809760433,-1.302804502354434,0.9382793994458605,1.101812148716264,1.1018121487162635,M,D,S
17,-1.5483411298956529,-1.4734667132566546,0.39265777542974134,-0.9877328338283329,1.1018482877903577,0.489955785328471,-0.06776289025203618,0.41231089433709833,0.4123108943370958,M,D,D
23,-0.8757057933410572,-0.8048931309304178,-0.009187111102402903,0.7934247353702998,0.3312698571992144,0.6997070488961462,-0.826095938744616,1.247458623845922,1.247458623845921,M,F,P
27,-0.07010765770008813,-0.13631954860418097,0.24644144289863362,0.7934247353702998,-0.8152004907534564,-0.6100686480271703,-0.36421096009613035,0.6451606478191738,0.6451606478191719,M,F,D
30,0.6416343844681468,0.7710303131242833,-0.7889237135207025,-0.9877328338283329,-1.4921781122194238,0.8855887817496972,-0.5491099412059375,0.6026591349019322,0.6026591349019309,M,F,P
33,-1.3762716251956402,-1.2824456897348726,0.12824893031534773,-0.9877328338283329,0.19841150709730077,1.6568411269197743,0.20816356753362542,-0.17840406041490514,-0.17840406041490806,M,F,Z
36,-0.2187131390319174,-0.13631954860418097,-0.2738166705260096,0.7934247353702998,-0.8152004907534564,0.09333238723876658,-0.47689394225031256,-0.43505212447410085,-0.4350521244741029,M,F,Z
40,0.6807410900817861,0.7232750572438378,-0.42989410455340055,0.7934247353702998,1.1018482877903577,1.345148470037637,0.8638142020671647,-0.6083218045158337,-0.6083218045158348,M,F,D
43,-0.9069911578319687,-0.8048931309304178,-0.4520365778929267,0.7934247353702998,1.1018482877903577,-0.49306950559893165,0.842846468007462,-0.20420620613679485,-0.20420620613679594,O,D,D
52,1.3299124032681982,1.3440933836896292,-0.4931863071079767,-0.9877328338283329,0.6381373738063022,1.0290332839980674,1.1462837825381238,0.6855423528776264,0.6855423528776236,O,D,Z
61,-0.5393881250637594,-0.5183615956477449,0.10252266430421747,0.7934247353702998,1.1018482877903577,0.08424945700140299,0.7730841400588239,0.8618708153209428,0.8618708153209415,O,F,P
62,0.7276691368181532,0.3412330102002739,0.9230431070327252,0.7934247353702998,-0.6068256235204333,0.03901358933368959,-0.5939266139168801,-0.5932335685917215,-0.5932335685917234,O,F,Z
63,0.5086715853817732,0.8187855690047288,-1.4361465040940953,-0.9877328338283329,-0.4393085733919231,0.32697505692244777,-0.03854189916883379,0.2386773534885743,0.23867735348857247,O,F,Z
64,-0.7349216531319559,-0.8048931309304178,0.7657994557810183,0.7934247353702998,-0.4393085733919231,-1.5166829144927811,-0.7743829634307039,-0.16043634601816564,-0.16043634601816775,O,F,S
65,0.4773862208908618,0.19796724255893744,0.9785164749416357,0.7934247353702998,0.5130917340802716,-1.5760064408154395,-0.8342376652677983,-0.4575202231574718,-0.4575202231574739,O,F,D
66,-0.7349216531319559,-0.6138721074086358,-0.16500451608425387,0.7934247353702998,0.374079770009839,0.3734706342241125,-0.7642708647352444,-1.3054479864606845,-1.305447986460686,O,F,Z
67,0.9935947349909002,0.19796724255893744,2.867675810800843,2.5745823045689322,-0.0756648196298145,-1.0171151235581208,-0.9043531731341091,-1.3510137000337943,-1.3510137000337958,O,F,P
