text_id,character_length,word_count,mean_word_length,median_word_length,freq_coverage_ratio,freq_mean,freq_median,conc_coverage_ratio,conc_mean,conc_median,surprisal_mean_nats,surprisal_mean_bits
1,359,56,5.267857142857143,5.0,1.0,1424.8198669951994,19.140378017837037,,,,1.7336339909710012,2.5011051614904054
3,343,50,5.66,6.0,1.0,1436.4496181391428,13.502038277449737,,,,2.3194981177442924,3.346328431820976
5,680,103,5.436893203883495,6.0,0.9805825242718447,1555.6543756663261,14.137729122300284,,,,1.8953468676852026,2.7344075267738717
6,264,38,5.7631578947368425,5.0,1.0,2176.9751548604604,31.989091862506946,,,,2.2751812968542136,3.2823927740948946
8,374,56,5.482142857142857,5.0,0.9821428571428571,2221.6165806142567,33.909389588005546,,,,1.9719908327944584,2.8449813951510623
9,915,151,4.913907284768212,5.0,0.9470198675496688,2732.4771713108285,60.66395087370571,,,,2.0765276903712055,2.9957962011671513
10,806,133,4.909774436090226,5.0,0.9774436090225563,2590.2413740620723,98.34207904189662,,,,2.3593307588499854,3.403794785609669
12,591,81,6.135802469135802,6.0,0.9876543209876543,1822.0499530891454,4.366517210987974,,,,1.1637438338504453,1.6789274579611473
13,386,62,5.129032258064516,5.0,0.9516129032258065,1550.6926416365693,31.632011706939025,,,,2.3473969784703668,3.3865779798369346
14,383,57,5.578947368421052,5.0,0.9649122807017544,1152.535458966175,47.410546186058816,,,,2.2879697991384527,3.3008426829207638
15,412,59,5.8474576271186445,5.0,0.9661016949152542,1436.631069305741,12.533072620735798,,,,1.5707155125319219,2.26606348057717
16,580,85,5.6,6.0,1.0,2189.7276013255296,17.13014899389911,,,,1.507450073334321,2.174790745187129
17,373,54,5.777777777777778,5.0,1.0,2054.4736553400376,23.551420038346443,,,,2.0595239048584784,2.9712649241316
18,696,104,5.586538461538462,5.0,0.9615384615384616,2037.817953703676,21.765137581110373,,,,2.252319901984707,3.2494107530888527
21,603,83,6.024096385542169,6.0,0.927710843373494,1101.0107608383507,3.0823511700381534,,,,1.8069856799623336,2.60692927943903
22,520,77,5.636363636363637,6.0,0.987012987012987,2112.77583202156,12.276503916364774,,,,1.7558916409378011,2.53321616271935
23,459,68,5.617647058823529,6.0,0.9852941176470589,2159.999574030417,5.566923709273713,,,,2.3362254608191257,3.3704608867222867
25,473,69,5.768115942028985,5.0,0.9710144927536232,1684.622559408006,7.574507695022247,,,,1.5887985385157408,2.2921517724882925
27,562,82,5.719512195121951,6.0,0.9634146341463414,1501.0510587974175,16.52090853094248,,,,2.1366717995566256,3.082565809227641
28,718,113,5.238938053097345,5.0,0.9823008849557522,1916.655976552205,38.06650794233332,,,,2.001493945236449,2.8875453891619114
